GEO_ID_2,GEO_ID,MSA,HH_TOT,HH_FAMILY,HH_MAR_FAM,HH_OTHER_FAM,HH_MALE_FAM,HH_FEMALE_FAM,HH_NON_FAMILY,HH_LIVING_ALONE,HH_NOT_LIVING_ALONE
21340,310M200US21340,"El Paso, TX Metro Area",260580,195692,130728,64964,14585,50379,64888,56369,8519
21500,310M200US21500,"Erie, PA Metro Area",109934,69932,50701,19231,4669,14562,40002,32958,7044
21660,310M200US21660,"Eugene, OR Metro Area",146235,86645,64481,22164,6692,15472,59590,42855,16735
21780,310M200US21780,"Evansville, IN-KY Metro Area",125940,81857,61572,20285,5407,14878,44083,37897,6186
21820,310M200US21820,"Fairbanks, AK Metro Area",35582,22810,17917,4893,1494,3399,12772,9784,2988
22020,310M200US22020,"Fargo, ND-MN Metro Area",91450,52742,41110,11632,3843,7789,38708,29043,9665
22140,310M200US22140,"Farmington, NM Metro Area",40643,29352,19831,9521,2657,6864,11291,9521,1770
22180,310M200US22180,"Fayetteville, NC Metro Area",139633,92857,62426,30431,5991,24440,46776,40082,6694
22220,310M200US22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",182048,124939,98692,26247,7932,18315,57109,44673,12436
22380,310M200US22380,"Flagstaff, AZ Metro Area",46619,29887,20916,8971,2897,6074,16732,11051,5681
22420,310M200US22420,"Flint, MI Metro Area",165268,106647,71040,35607,8403,27204,58621,49255,9366
22500,310M200US22500,"Florence, SC Metro Area",78264,53667,34968,18699,3862,14837,24597,21637,2960
22520,310M200US22520,"Florence-Muscle Shoals, AL Metro Area",60816,40191,30054,10137,2600,7537,20625,17881,2744
22540,310M200US22540,"Fond du Lac, WI Metro Area",41069,27232,21980,5252,1738,3514,13837,11620,2217
22660,310M200US22660,"Fort Collins, CO Metro Area",125138,78216,63214,15002,5085,9917,46922,30912,16010
22900,310M200US22900,"Fort Smith, AR-OK Metro Area",106944,73926,54724,19202,5376,13826,33018,28720,4298
23060,310M200US23060,"Fort Wayne, IN Metro Area",164519,109192,80415,28777,7322,21455,55327,46825,8502
23420,310M200US23420,"Fresno, CA Metro Area",296305,216106,138710,77396,24004,53392,80199,63305,16894
23460,310M200US23460,"Gadsden, AL Metro Area",39899,27595,20065,7530,2132,5398,12304,10941,1363
23540,310M200US23540,"Gainesville, FL Metro Area",102890,56472,40905,15567,4044,11523,46418,32947,13471
23580,310M200US23580,"Gainesville, GA Metro Area",61992,45810,34819,10991,3424,7567,16182,13370,2812
23900,310M200US23900,"Gettysburg, PA Metro Area",38193,27376,22193,5183,1572,3611,10817,9019,1798
