Risk_Score,Race,Gender,Age_Cat,Edu_Cat,Htn,Freq_nhanes,Mean_Tchols,Err_Tchols,Mean_HDL,Err_HDL,Mean_bp,Err_bp,smoking_stat
8,WhiteNH,Male,Age_55_64,some_coll_,0,0.0155286,188.6750819,2.242856413,40.44527385,0.482671227,110.0450959,0.706708397,1
9,WhiteNH,Male,Age_55_64,some_coll_,0,127.994,191.2686708,1.278140313,41.16594962,0.38672239,132.6253654,0.445502592,0
10,WhiteNH,Male,Age_55_64,some_coll_,0,0.0448705,265.3965363,2.781189952,41.07505357,0.872275064,111.075933,0.811329093,0
11,WhiteNH,Male,Age_55_64,some_coll_,0,36.4555,268.4810445,1.973058877,69.66578454,1.318783016,134.6854841,0.792744322,0
12,WhiteNH,Male,Age_55_64,some_coll_,0,3.34529,269.4644237,3.317190354,69.12275676,2.05726984,141.4847544,2.409257503,1
13,WhiteNH,Male,Age_55_64,some_coll_,0,1.79284,191.1325868,2.108936455,39.81525685,0.603019026,134.0802805,0.842851767,1
14,WhiteNH,Male,Age_55_64,some_coll_,0,2.13977,274.6067071,3.593839605,40.53464736,0.888494012,111.4604483,0.89431154,1
15,WhiteNH,Male,Age_55_64,some_coll_,0,33.9329,273.6332077,3.858534977,40.87822895,0.529641302,135.7701784,1.197377745,0
16,WhiteNH,Male,Age_55_64,some_coll_,0,2.84231,274.0079187,3.281859511,39.92930501,0.969672539,135.4472335,2.95238857,1
17,WhiteNH,Male,Age_55_64,some_coll_,1,4.39556,189.1546718,1.421317842,62.70383143,0.685863135,110.8503798,0.509169312,0
18,WhiteNH,Male,Age_55_64,some_coll_,1,0.150445,191.2557191,2.156407394,62.77839793,0.923362033,111.3476741,0.856908635,1
19,WhiteNH,Male,Age_55_64,some_coll_,1,33.1329,194.2197067,1.371278352,62.34669784,0.73472223,134.9668319,0.537664591,0
20,WhiteNH,Male,Age_55_64,some_coll_,1,2.99427,257.9728973,2.017827435,65.43971185,1.447838876,111.7680069,0.655167504,0
21,WhiteNH,Male,Age_55_64,some_coll_,1,16.1655,182.0950375,1.600026517,40.00305537,0.546403275,112.6523539,0.464221052,0
22,WhiteNH,Male,Age_55_64,some_coll_,1,3.57455,192.0079485,1.96480641,64.32841989,1.054862185,137.1331842,0.743115655,1
23,WhiteNH,Male,Age_55_64,some_coll_,1,0,260.145605,3.671869191,63.48755761,1.906814271,111.5952609,0.935387859,1
24,WhiteNH,Male,Age_55_64,some_coll_,1,0.00670021,184.8791785,2.295193922,38.62927052,0.590428381,111.6824775,0.814535107,1
25,WhiteNH,Male,Age_55_64,some_coll_,1,49.4405,187.4727673,1.283475836,39.34994629,0.486391905,134.2627471,0.512203538,0
26,WhiteNH,Male,Age_55_64,some_coll_,1,1.72E-05,261.6006329,2.866198147,39.25905024,0.9490641,112.7133147,0.847237772,0
27,WhiteNH,Male,Age_55_64,some_coll_,1,6.08787,264.6851411,2.257509626,67.84978121,1.29791562,136.3228658,0.784588254,0
